tool,id,cwe
codeql,java/potentially-dangerous-function,CWE-676
codeql,java/tainted-arithmetic,CWE-190
codeql,java/uncontrolled-arithmetic,CWE-190
codeql,java/comparison-with-wider-type,CWE-190
codeql,java/sensitive-log,CWE-532
codeql,java/android/arbitrary-apk-installation,CWE-094
codeql,java/concatenated-sql-query,CWE-089
codeql,java/android/websettings-javascript-enabled,CWE-079
codeql,java/android/webview-addjavascriptinterface,CWE-079
codeql,java/cleartext-storage-in-properties,CWE-313
codeql,java/android/cleartext-storage-filesystem,CWE-312
codeql,java/android/cleartext-storage-database,CWE-312
codeql,java/android/cleartext-storage-shared-prefs,CWE-312
codeql,java/android/insecure-local-key-gen,CWE-287
codeql,java/socket-auth-race-condition,CWE-421
codeql,java/trust-boundary-violation,CWE-501
codeql,java/unsafe-cert-trust,CWE-273
codeql,java/android/missing-certificate-pinning,CWE-295
codeql,java/improper-validation-of-array-index,CWE-129
codeql,java/improper-validation-of-array-construction,CWE-129
codeql,java/potentially-weak-cryptographic-algorithm,CWE-327
codeql,java/android/incomplete-provider-permissions,CWE-926
codeql,java/user-controlled-bypass,CWE-807
codeql,java/android/sensitive-result-receiver,CWE-927
codeql,java/android/sensitive-communication,CWE-927
codeql,java/partial-path-traversal,CWE-023
codeql,java/unreachable-exit-in-loop,CWE-835
codeql,java/log-injection,CWE-117
codeql,java/insecure-smtp-ssl,CWE-297
codeql,java/android/unsafe-android-webview-fetch,CWE-749
codeql,java/android/websettings-file-access,CWE-200
codeql,java/android/sensitive-text,CWE-200
codeql,java/android/sensitive-notification,CWE-200
codeql,java/local-temp-file-or-directory-information-disclosure,CWE-200
codeql,java/android/websettings-allow-content-access,CWE-200
codeql,java/hardcoded-credential-api-call,CWE-798
codeql,java/android/sensitive-keyboard-cache,CWE-524
codeql,java/toctou-race-condition,CWE-367
codeql,java/telemetry/supported-external-api,CWE-unknown
codeql,java/telemetry/supported-external-api-sources,CWE-unknown
codeql,java/telemetry/external-libs,CWE-unknown
codeql,java/telemetry/supported-external-api-sinks,CWE-unknown
codeql,java/telemetry/extraction-information,CWE-unknown
codeql,java/telemetry/unsupported-external-api,CWE-unknown
codeql,java/telemetry/supported-external-api-taint,CWE-unknown
codeql,java/summary/lines-of-code-java,CWE-unknown
codeql,java/summary/lines-of-code,CWE-unknown
codeql,java/summary/lines-of-code-kotlin,CWE-unknown
pmd,UseUtilityClass,CWE-unknown
pmd,FormalParameterNamingConventions,CWE-unknown
pmd,CloseResource,CWE-unknown
pmd,UnnecessaryConstructor,CWE-unknown
pmd,UncommentedEmptyConstructor,CWE-unknown
pmd,UnnecessaryFullyQualifiedName,CWE-unknown
pmd,AvoidUsingVolatile,CWE-unknown
pmd,SimplifyBooleanReturns,CWE-unknown
pmd,UnusedLocalVariable,CWE-unknown
pmd,LooseCoupling,CWE-unknown
pmd,LiteralsFirstInComparisons,CWE-unknown
pmd,LocalVariableNamingConventions,CWE-unknown
pmd,CompareObjectsWithEquals,CWE-unknown
pmd,EmptyCatchBlock,CWE-unknown
pmd,ClassWithOnlyPrivateConstructorsShouldBeFinal,CWE-unknown
pmd,FinalParameterInAbstractMethod,CWE-unknown
pmd,LambdaCanBeMethodReference,CWE-unknown
pmd,AvoidAccessibilityAlteration,CWE-unknown
pmd,PreserveStackTrace,CWE-unknown
pmd,AvoidMessageDigestField,CWE-unknown
pmd,OneDeclarationPerLine,CWE-unknown
pmd,AvoidCatchingThrowable,CWE-unknown
pmd,AvoidInstanceofChecksInCatchClause,CWE-unknown
pmd,AssignmentInOperand,CWE-unknown
pmd,AvoidProtectedFieldInFinalClass,CWE-unknown
pmd,AvoidStringBufferField,CWE-unknown
pmd,MethodNamingConventions,CWE-unknown
pmd,UnnecessaryModifier,CWE-unknown
pmd,ClassNamingConventions,CWE-unknown
pmd,DoNotCallGarbageCollectionExplicitly,CWE-unknown
pmd,UncommentedEmptyMethodBody,CWE-unknown
pmd,SingularField,CWE-unknown
pmd,AvoidUsingHardCodedIP,CWE-unknown
pmd,ReturnEmptyCollectionRatherThanNull,CWE-unknown
pmd,UnusedPrivateMethod,CWE-unknown
pmd,EmptyControlStatement,CWE-unknown
pmd,UnusedFormalParameter,CWE-unknown
pmd,OverrideBothEqualsAndHashcode,CWE-unknown
pmd,CheckSkipResult,CWE-unknown
pmd,UselessParentheses,CWE-unknown
pmd,UselessOverridingMethod,CWE-unknown
pmd,FinalFieldCouldBeStatic,CWE-unknown
pmd,AvoidDollarSigns,CWE-unknown
pmd,UnsynchronizedStaticFormatter,CWE-unknown
pmd,EqualsNull,CWE-unknown
pmd,UnnecessaryImport,CWE-unknown
pmd,ControlStatementBraces,CWE-unknown
spotbugs,CT_CONSTRUCTOR_THROW,CWE-unknown
spotbugs,MS_EXPOSE_REP,CWE-unknown
spotbugs,EI_EXPOSE_REP,CWE-374
spotbugs,MS_PKGPROTECT,CWE-unknown
spotbugs,SE_BAD_FIELD,CWE-unknown
spotbugs,IT_NO_SUCH_ELEMENT,CWE-unknown
spotbugs,EI_EXPOSE_REP2,CWE-374
spotbugs,SA_LOCAL_SELF_COMPARISON,CWE-unknown
spotbugs,DM_DEFAULT_ENCODING,CWE-unknown
semgrep,bash.curl.security.curl-eval.curl-eval,CWE-95
semgrep,bash.curl.security.curl-pipe-bash.curl-pipe-bash,CWE-95
semgrep,bash.lang.security.ifs-tampering.ifs-tampering,CWE-20
semgrep,c.lang.security.insecure-use-gets-fn.insecure-use-gets-fn,CWE-676
semgrep,c.lang.security.insecure-use-scanf-fn.insecure-use-scanf-fn,CWE-676
semgrep,c.lang.security.insecure-use-strtok-fn.insecure-use-strtok-fn,CWE-676
semgrep,c.lang.security.random-fd-exhaustion.random-fd-exhaustion,CWE-774
semgrep,clojure.lang.security.documentbuilderfactory-xxe.documentbuilderfactory-xxe,CWE-611
semgrep,clojure.lang.security.use-of-md5.use-of-md5,CWE-328
semgrep,clojure.lang.security.use-of-sha1.use-of-sha1,CWE-327
semgrep,cpp.lang.correctness.memset-removal.memset-removal,CWE-14
semgrep,cpp.lang.correctness.sizeof-pointer-type.sizeof-pointer-type,CWE-467
semgrep,cpp.lang.correctness.sizeof-this.sizeof-this,CWE-467
semgrep,cpp.lang.security.containers.std-return-data.std-return-data,CWE-416
semgrep,cpp.lang.security.containers.std-vector-invalidation.std-vector-invalidation,CWE-416
semgrep,cpp.lang.security.crypto.certificate.curl-disabled-cert-validation.curl-disabled-cert-validation,CWE-295
semgrep,cpp.lang.security.crypto.certificate.curl-insecure-required-version.curl-insecure-required-version,CWE-327
semgrep,cpp.lang.security.crypto.certificate.openssl-disabled-cert-validation.openssl-disabled-cert-validation,CWE-295
semgrep,cpp.lang.security.crypto.certificate.openssl-insecure-required-version.openssl-insecure-required-version,CWE-327
semgrep,cpp.lang.security.crypto.insecure-hash.insecure-hash,CWE-328
semgrep,cpp.lang.security.crypto.key.small-key-size.small-key-size,CWE-326
semgrep,cpp.lang.security.filesystem.file-access-before-action.file-access-before-action,CWE-367
semgrep,cpp.lang.security.filesystem.file-stat-before-action.file-stat-before-action,CWE-367
semgrep,cpp.lang.security.filesystem.path-manipulation.path-manipulation,CWE-22
semgrep,cpp.lang.security.filesystem.world-writable-file.world-writable-file,CWE-732
semgrep,cpp.lang.security.format-string.format-string-injection.format-string-injection,CWE-134
semgrep,cpp.lang.security.ldap.ldap-injection-dn.ldap-injection-dn,CWE-90
semgrep,cpp.lang.security.ldap.ldap-injection-filter.ldap-injection-filter,CWE-90
semgrep,cpp.lang.security.libraries.dynamic-library-path.dynamic-library-path,CWE-114
semgrep,cpp.lang.security.memory.allocation.tainted-allocation-size.tainted-allocation-size,CWE-125
semgrep,cpp.lang.security.memory.deallocation.double-delete.double-delete,CWE-415
semgrep,cpp.lang.security.memory.deallocation.double-free.double-free,CWE-415
semgrep,cpp.lang.security.memory.negative-return-value-array-index.negative-return-value-array-index,CWE-787
semgrep,cpp.lang.security.memory.null-deref.null-library-function.null-library-function,CWE-476
semgrep,cpp.lang.security.memory.unvalidated-array-index.unvalidated-array-index,CWE-120
semgrep,cpp.lang.security.rng.predictable-seed-rng-constant.predictable-seed-rng-constant,CWE-337
semgrep,cpp.lang.security.rng.predictable-seed-rng-time.predictable-seed-rng-time,CWE-337
semgrep,cpp.lang.security.sql.sql-injection.sql-injection,CWE-89
semgrep,cpp.lang.security.strings.alloc-strlen.alloc-strlen,CWE-131
semgrep,cpp.lang.security.strings.missing-nul-cpp-string-memcpy.missing-nul-cpp-string-memcpy,CWE-125
semgrep,cpp.lang.security.strings.narrow-to-wide-string-mismatch.narrow-to-wide-string-mismatch,CWE-125
semgrep,cpp.lang.security.strings.readlink-null-terminator.readlink-null-terminator,CWE-125
semgrep,cpp.lang.security.strings.return-c-str.return-c-str,CWE-416
semgrep,cpp.lang.security.strings.snprintf-return-value-length.snprintf-return-value-length,CWE-787
semgrep,cpp.lang.security.strings.snprintf-return-value-snprintf.snprintf-return-value-snprintf,CWE-787
semgrep,cpp.lang.security.strings.snprintf-source-size.snprintf-source-size,CWE-787
semgrep,cpp.lang.security.strings.std-string-npos.std-string-npos,CWE-125
semgrep,cpp.lang.security.strings.string-view-data-null-terminator.string-view-data-null-terminator,CWE-125
semgrep,cpp.lang.security.strings.string-view-temporary-string.string-view-temporary-string,CWE-416
semgrep,cpp.lang.security.strings.unbounded-copy-to-stack-buffer.unbounded-copy-to-stack-buffer,CWE-120
semgrep,cpp.lang.security.strings.wide-to-narrow-string-mismatch.wide-to-narrow-string-mismatch,CWE-125
semgrep,cpp.lang.security.system-command.command-injection-path.command-injection-path,CWE-78
semgrep,cpp.lang.security.system-command.dont-call-system.dont-call-system,CWE-78
semgrep,cpp.lang.security.uri.http-url.http-url,CWE-319
semgrep,cpp.lang.security.uri.url-manipulation-generic.url-manipulation-generic,CWE-918
semgrep,cpp.lang.security.use-after-free.local-variable-malloc-free.local-variable-malloc-free,CWE-416
semgrep,cpp.lang.security.use-after-free.local-variable-new-delete.local-variable-new-delete,CWE-416
semgrep,cpp.libxml2.security.libxml2-audit-parser.libxml2-audit-parser,CWE-611
semgrep,cpp.libxml2.security.libxml2-expand-local-entities.libxml2-expand-local-entities,CWE-611
semgrep,cpp.libxml2.security.libxml2-expand-remote-dtd.libxml2-expand-remote-dtd,CWE-611
semgrep,cpp.libxml2.security.libxml2-expand-xinclude.libxml2-expand-xinclude,CWE-611
semgrep,csharp.dotnet-core.code-injection.compile-taint-grpc.compile-taint-grpc,CWE-94
semgrep,csharp.dotnet-core.code-injection.compile-taint.compile-taint,CWE-94
semgrep,csharp.dotnet-core.command-injection.process-taint-grpc.process-taint-grpc,CWE-78
semgrep,csharp.dotnet-core.command-injection.process-taint.process-taint,CWE-78
semgrep,csharp.dotnet-core.cookies.cookie-samesite-none.cookie-samesite-none,CWE-1275
semgrep,csharp.dotnet-core.jwt.jwt-decode-without-verify.jwt-decode-without-verify,CWE-345
semgrep,csharp.dotnet-core.jwt.jwt-hardcoded-secret.jwt-hardcoded-secret,CWE-798
semgrep,csharp.dotnet-core.nosqli.mongodb-taint-grpc.mongodb-taint-grpc,CWE-943
semgrep,csharp.dotnet-core.nosqli.mongodb-taint.mongodb-taint,CWE-943
semgrep,csharp.dotnet-core.path-traversal.file-taint-grpc.file-taint-grpc,CWE-22
semgrep,csharp.dotnet-core.path-traversal.file-taint.file-taint,CWE-22
semgrep,csharp.dotnet-core.sqli.entityframework-taint-grpc.entityframework-taint-grpc,CWE-89
semgrep,csharp.dotnet-core.sqli.entityframework-taint.entityframework-taint,CWE-89
semgrep,csharp.dotnet-core.sqli.systemdata-taint-grpc.systemdata-taint-grpc,CWE-89
semgrep,csharp.dotnet-core.sqli.systemdata-taint.systemdata-taint,CWE-89
semgrep,csharp.dotnet-core.ssrf.httpclient-taint-format-grpc.httpclient-taint-format-grpc,CWE-918
semgrep,csharp.dotnet-core.ssrf.httpclient-taint-format.httpclient-taint-format,CWE-918
semgrep,csharp.dotnet-core.ssrf.httpclient-taint-grpc.httpclient-taint-grpc,CWE-918
semgrep,csharp.dotnet-core.ssrf.httpclient-taint.httpclient-taint,CWE-918
semgrep,csharp.dotnet-core.xpath-injection.xpath-taint-grpc.xpath-taint-grpc,CWE-643
semgrep,csharp.dotnet-core.xpath-injection.xpath-taint.xpath-taint,CWE-643
semgrep,csharp.dotnet-core.xxe.xml-dtd-allowed.xml-dtd-allowed,CWE-611
semgrep,csharp.dotnet.crypto.ciphers.cbc-mode.cbc-mode,CWE-327
semgrep,csharp.dotnet.crypto.ciphers.cfb-mode.cfb-mode,CWE-327
semgrep,csharp.dotnet.crypto.ciphers.ecb-mode.ecb-mode,CWE-327
semgrep,csharp.dotnet.crypto.ciphers.ofb-mode.ofb-mode,CWE-327
semgrep,csharp.dotnet.crypto.hash.insecure-crypto-hash.insecure-crypto-hash,CWE-328
semgrep,csharp.dotnet.security.audit.mass-assignment.mass-assignment,CWE-915
semgrep,csharp.dotnet.security.mvc-missing-antiforgery.mvc-missing-antiforgery,CWE-352
semgrep,csharp.dotnet.security.net-webconfig-debug.net-webconfig-debug,CWE-11
semgrep,csharp.dotnet.security.net-webconfig-trace-enabled.net-webconfig-trace-enabled,CWE-1323
semgrep,csharp.dotnet.security.razor-template-injection.razor-template-injection,CWE-94
semgrep,csharp.dotnet.security.use_ecb_mode.use_ecb_mode,CWE-327
semgrep,csharp.dotnet.security.use_weak_rng_for_keygeneration.use_weak_rng_for_keygeneration,CWE-338
semgrep,csharp.dotnet.security.web-config-insecure-cookie-settings.web-config-insecure-cookie-settings,CWE-614
semgrep,csharp.jwt-dotnet.jwt-dotnet-hardcoded-secret.jwt-dotnet-hardcoded-secret,CWE-798
semgrep,csharp.lang.audit.cookies.httponly-false.httponly-false,CWE-1004
semgrep,csharp.lang.audit.cookies.missing-httponly.missing-httponly,CWE-1004
semgrep,csharp.lang.audit.cookies.missing-secure.missing-secure,CWE-614
semgrep,csharp.lang.audit.cookies.secure-false.secure-false,CWE-614
semgrep,csharp.lang.security.ad.jwt-tokenvalidationparameters-no-expiry-validation.jwt-tokenvalidationparameters-no-expiry-validation,CWE-613
semgrep,csharp.lang.security.cryptography.x509-subject-name-validation.X509-subject-name-validation,CWE-295
semgrep,csharp.lang.security.filesystem.unsafe-path-combine.unsafe-path-combine,CWE-22
semgrep,csharp.lang.security.http.http-listener-wildcard-bindings.http-listener-wildcard-bindings,CWE-706
semgrep,csharp.lang.security.injections.os-command.os-command-injection,CWE-78
semgrep,csharp.lang.security.insecure-deserialization.binary-formatter.insecure-binaryformatter-deserialization,CWE-502
semgrep,csharp.lang.security.insecure-deserialization.data-contract-resolver.data-contract-resolver,CWE-502
semgrep,csharp.lang.security.insecure-deserialization.fast-json.insecure-fastjson-deserialization,CWE-502
semgrep,csharp.lang.security.insecure-deserialization.fs-pickler.insecure-fspickler-deserialization,CWE-502
semgrep,csharp.lang.security.insecure-deserialization.insecure-typefilterlevel-full.insecure-typefilterlevel-full,CWE-502
semgrep,csharp.lang.security.insecure-deserialization.javascript-serializer.insecure-javascriptserializer-deserialization,CWE-502
semgrep,csharp.lang.security.insecure-deserialization.los-formatter.insecure-losformatter-deserialization,CWE-502
semgrep,csharp.lang.security.insecure-deserialization.net-data-contract.insecure-netdatacontract-deserialization,CWE-502
semgrep,csharp.lang.security.insecure-deserialization.newtonsoft.insecure-newtonsoft-deserialization,CWE-502
semgrep,csharp.lang.security.insecure-deserialization.soap-formatter.insecure-soapformatter-deserialization,CWE-502
semgrep,csharp.lang.security.memory.memory-marshal-create-span.memory-marshal-create-span,CWE-125
semgrep,csharp.lang.security.regular-expression-dos.regular-expression-dos-infinite-timeout.regular-expression-dos-infinite-timeout,CWE-1333
semgrep,csharp.lang.security.regular-expression-dos.regular-expression-dos.regular-expression-dos,CWE-1333
semgrep,csharp.lang.security.sqli.csharp-sqli.csharp-sqli,CWE-89
semgrep,csharp.lang.security.ssrf.http-client.ssrf,CWE-918
semgrep,csharp.lang.security.ssrf.rest-client.ssrf,CWE-918
semgrep,csharp.lang.security.ssrf.web-client.ssrf,CWE-918
semgrep,csharp.lang.security.ssrf.web-request.ssrf,CWE-918
semgrep,csharp.lang.security.stacktrace-disclosure.stacktrace-disclosure,CWE-209
semgrep,csharp.lang.security.system.directoryentry-hardcoded-secret.directoryentry-hardcoded-secret,CWE-798
semgrep,csharp.lang.security.system.networkcredential-hardcoded-secret.networkcredential-hardcoded-secret,CWE-798
semgrep,csharp.lang.security.system.oracleconnectionstringbuilder-hardcoded-secret.oracleconnectionstringbuilder-hardcoded-secret,CWE-798
semgrep,csharp.lang.security.system.passwordauthenticationmethod-hardcoded-secret.passwordauthenticationmethod-hardcoded-secret,CWE-798
semgrep,csharp.lang.security.system.sqlconnection-hardcoded-secret.sqlconnection-hardcoded-secret,CWE-798
semgrep,csharp.lang.security.system.sqlconnectionstringbuilder-hardcoded-secret.sqlconnectionstringbuilder-hardcoded-secret,CWE-798
semgrep,csharp.lang.security.xxe.xmldocument-unsafe-parser-override.xmldocument-unsafe-parser-override,CWE-611
semgrep,csharp.lang.security.xxe.xmlreadersettings-unsafe-parser-override.xmlreadersettings-unsafe-parser-override,CWE-611
semgrep,csharp.lang.security.xxe.xmltextreader-unsafe-defaults.xmltextreader-unsafe-defaults,CWE-611
semgrep,csharp.mongo.csharp-mongo-hardcoded-secret.csharp-mongo-hardcoded-secret,CWE-798
semgrep,csharp.postgres.npgsqlconnectionstringbuilder-hardcoded-secret.npgsqlconnectionstringbuilder-hardcoded-secret,CWE-798
semgrep,csharp.razor.security.html-raw-json.html-raw-json,CWE-79
semgrep,dockerfile.security.dockerd-socket-mount.dockerfile-dockerd-socket-mount,CWE-269
semgrep,dockerfile.security.last-user-is-root.last-user-is-root,CWE-269
semgrep,dockerfile.security.missing-user-entrypoint.missing-user-entrypoint,CWE-269
semgrep,dockerfile.security.missing-user.missing-user,CWE-269
semgrep,dockerfile.security.no-sudo-in-dockerfile.no-sudo-in-dockerfile,CWE-250
semgrep,generic.ci.security.bash-reverse-shell.bash_reverse_shell,CWE-94
semgrep,generic.nginx.security.alias-path-traversal.alias-path-traversal,CWE-22
semgrep,generic.nginx.security.dynamic-proxy-host.dynamic-proxy-host,CWE-441
semgrep,generic.nginx.security.dynamic-proxy-scheme.dynamic-proxy-scheme,CWE-16
semgrep,generic.nginx.security.header-injection.header-injection,CWE-113
semgrep,generic.nginx.security.header-redefinition.header-redefinition,CWE-16
semgrep,generic.nginx.security.insecure-redirect.insecure-redirect,CWE-319
semgrep,generic.nginx.security.insecure-ssl-version.insecure-ssl-version,CWE-326
semgrep,generic.nginx.security.missing-internal.missing-internal,CWE-16
semgrep,generic.nginx.security.missing-ssl-version.missing-ssl-version,CWE-326
semgrep,generic.nginx.security.possible-h2c-smuggling.possible-nginx-h2c-smuggling,CWE-444
semgrep,generic.secrets.security.detected-amazon-mws-auth-token.detected-amazon-mws-auth-token,CWE-798
semgrep,generic.secrets.security.detected-artifactory-password.detected-artifactory-password,CWE-798
semgrep,generic.secrets.security.detected-artifactory-token.detected-artifactory-token,CWE-798
